Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,Total Distance
1,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,37,2693,2980,90.4,63123
2,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.2,2247,3140,71.6,49686
3,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,27.1,2319,2490,93.1,47816
4,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,36.6,2039,2314,88.1,46022
5,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,37,2081,2353,88.4,45832
6,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,34.9,1882,2150,87.5,44381
7,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.1,1934,2137,90.5,42981
8,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,37,1509,1747,86.4,41763
9,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,2035,2239,90.9,41675
10,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,33.6,2256,2793,80.8,41440
11,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,25,1716,1920,89.4,39821
12,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,34.9,2200,2747,80.1,39166
13,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,34.2,1658,2140,77.5,38732
14,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,33.3,1560,1939,80.5,37639
15,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,21.3,1645,1848,89,37237
16,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,25.6,1803,2057,87.7,36866
17,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,31.9,1521,1840,82.7,36263
18,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,30.2,1455,1681,86.6,36103
19,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,25.5,1878,2136,87.9,36051
20,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,34.2,1599,2005,79.8,35267
21,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,33.4,1715,1954,87.8,34558
22,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,30,1622,2175,74.6,33572
23,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,28.6,1524,1788,85.2,33243
24,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,27.7,1599,1819,87.9,33160
25,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,37,1145,1425,80.4,33034
26,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,21.9,1754,1929,90.9,32931
27,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,1582,1879,84.2,32654
28,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,35,1014,1500,67.6,31693
29,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,22.1,1610,1789,90,31291
30,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,37,862,1337,64.5,30884
31,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,19.1,1380,1488,92.7,29823
32,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,28.4,1396,1580,88.4,29804
33,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24,1463,1714,85.4,29437
34,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,27.1,1388,1601,86.7,29096
35,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,18,1209,1375,87.9,28874
36,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,37,1417,1652,85.8,28872
37,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,31.2,1477,1777,83.1,28623
38,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,27,1298,1496,86.8,28022
39,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,29.1,1230,1513,81.3,27521
40,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,23.7,1406,1587,88.6,27252
41,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,37,882,1143,77.2,27137
42,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,34,1321,1778,74.3,27096
43,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,23.1,1334,1528,87.3,27062
44,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,30.6,1413,1810,78.1,26872
45,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,30.6,1423,1762,80.8,26664
46,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,1166,1258,92.7,26592
47,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,37,1380,1874,73.6,26377
48,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,1528,1956,78.1,26142
49,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,28.7,1384,1611,85.9,25985
50,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,29.2,1282,1674,76.6,25933
51,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,31.2,1040,1304,79.8,25688
52,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,25.4,1070,1251,85.5,25554
53,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28,1513,1875,80.7,25283
54,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,37,584,1062,55,25191
55,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,27.4,1077,1283,83.9,25165
56,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,32.9,1307,1888,69.2,24944
57,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,27.9,1158,1503,77,24743
58,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,32.4,1156,1555,74.3,24611
59,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,37,522,1182,44.2,24348
60,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,1158,1430,81,24229
61,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,33.1,1613,1995,80.9,24025
62,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,31.6,1397,1542,90.6,23983
63,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,34.4,1006,1194,84.3,23957
64,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,36.2,1388,1871,74.2,23954
65,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,37,519,1152,45.1,23764
66,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,877,1086,80.8,23680
67,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,28.8,1161,1437,80.8,23581
68,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,31,1357,1795,75.6,23392
69,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34,1143,1434,79.7,23194
70,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,32,1308,1666,78.5,23106
71,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,33.1,900,1034,87,22866
72,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,34.9,1194,1511,79,22766
73,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,26,986,1209,81.6,22609
74,Willian\Willian,br BRA,FW,Chelsea,30,1988,28.9,1247,1600,77.9,22451
75,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,37,540,841,64.2,22021
76,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,30.9,1345,1759,76.5,22004
77,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,1042,1183,88.1,21680
78,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,27.3,770,901,85.5,21668
79,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,30.1,1060,1246,85.1,21661
80,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,30.3,1241,1681,73.8,21623
81,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,29,1072,1353,79.2,21569
82,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,36,639,1103,57.9,21328
83,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,1227,1558,78.8,21238
84,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18,1050,1248,84.1,21191
85,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,34.2,1260,1601,78.7,21136
86,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,34,578,1031,56.1,21131
87,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,981,1098,89.3,21074
88,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12.5,966,1016,95.1,21068
89,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,22.5,1261,1448,87.1,21062
90,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.8,855,991,86.3,20925
91,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,14.2,1198,1348,88.9,20860
92,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,32,875,1172,74.7,20667
93,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,1144,1534,74.6,20521
94,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,37,881,1211,72.7,20480
95,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,11.2,949,1016,93.4,20462
96,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,35,411,1004,40.9,20419
97,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,28,958,1183,81,20369
98,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,19.4,1270,1456,87.2,20281
99,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,1018,1144,89,20108
100,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,35.1,1067,1438,74.2,20093
101,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,35,1300,1663,78.2,20078
102,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,29,1210,1591,76.1,20026
103,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,29.5,1181,1582,74.7,19929
104,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,16.6,1108,1285,86.2,19843
105,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,28.1,893,1163,76.8,19747
106,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,33.6,1109,1422,78,19375
107,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,930,1112,83.6,19288
108,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,26,1100,1242,88.6,19202
109,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.8,873,973,89.7,19136
110,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,16.6,1037,1172,88.5,19058
111,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,26.2,820,1101,74.5,19024
112,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,22.5,769,1059,72.6,18857
113,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,15.8,1017,1215,83.7,18727
114,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,26.4,1070,1242,86.2,18612
115,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,826,953,86.7,18611
116,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,24.9,972,1427,68.1,18522
117,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,37,707,910,77.7,18323
118,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,742,990,74.9,18293
119,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,28,1991,21.1,984,1160,84.8,18104
120,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,26.3,946,1172,80.7,17987
121,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,37,1154,1525,75.7,17672
122,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,21.1,1006,1255,80.2,17672
123,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,31.4,1155,1418,81.5,17496
124,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,30.9,1081,1340,80.7,17372
125,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,19.2,973,1139,85.4,17297
126,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,19.9,867,1117,77.6,17190
127,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,1121,1296,86.5,16834
128,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,24.6,1013,1281,79.1,16769
129,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,12.4,927,1057,87.7,16730
130,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,12.4,834,969,86.1,16730
131,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,27,410,779,52.6,16630
132,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,19.6,816,995,82,16600
133,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,25.2,687,861,79.8,16540
134,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,22.5,359,642,55.9,16521
135,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,36.1,837,1228,68.2,16189
136,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.4,976,1266,77.1,15870
137,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,27.4,812,1049,77.4,15810
138,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,24.5,861,1172,73.5,15772
139,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,27.8,867,1165,74.4,15762
140,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,30,710,902,78.7,15717
141,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,719,864,83.2,15703
142,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,13.4,663,790,83.9,15630
143,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,16.6,786,899,87.4,15536
144,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,30.2,921,1148,80.2,15355
145,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,14.9,859,1041,82.5,15146
146,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,27,842,1142,73.7,15036
147,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,25.5,893,1201,74.4,14919
148,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,21,769,927,83,14875
149,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,29.7,722,903,80,14871
150,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,20,762,1028,74.1,14861
151,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,15.9,800,966,82.8,14804
152,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,35.4,910,1159,78.5,14609
153,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,576,767,75.1,14600
154,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,23.1,669,811,82.5,14591
155,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,19.7,775,938,82.6,14554
156,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,702,865,81.2,14269
157,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,15.2,623,749,83.2,14219
158,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,23,815,1064,76.6,14170
159,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,18.5,856,1015,84.3,14089
160,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,32.9,916,1152,79.5,14083
161,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,676,778,86.9,14008
162,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,13.9,652,810,80.5,13926
163,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,19.8,784,1022,76.7,13808
164,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,21.6,726,1035,70.1,13410
165,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,28.5,948,1176,80.6,13347
166,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,21.7,649,817,79.4,13322
167,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,24.7,566,747,75.8,13293
168,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,21.8,819,1027,79.7,13170
169,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,26.7,865,1083,79.9,13068
170,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,14.4,768,931,82.5,13046
171,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,21.8,668,998,66.9,12910
172,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,350,614,57,12857
173,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,8.3,626,659,95,12831
174,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,14.9,696,905,76.9,12536
175,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,29.7,740,1006,73.6,12502
176,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,16,754,891,84.6,12499
177,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,20.2,666,788,84.5,12446
178,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29,743,933,79.6,12442
179,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,19.1,374,542,69,12382
180,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,17,590,788,74.9,12353
181,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,21.8,631,812,77.7,12330
182,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,515,613,84,12117
183,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,23.9,746,1027,72.6,12117
