Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,Total Distance
359,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,29,1989,7.6,211,293,72,3417
360,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.2,229,270,84.8,3400
361,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,14.4,238,320,74.4,3316
362,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8.7,198,318,62.3,3316
363,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,188,232,81,3242
364,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,7,181,227,79.7,3152
365,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,183,214,85.5,3054
366,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,15.4,226,405,55.8,2946
367,Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,24,1994,6.6,179,259,69.1,2906
368,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.5,210,243,86.4,2900
369,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,151,169,89.3,2892
370,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,136,187,72.7,2876
371,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,55,124,44.4,2858
372,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,6.8,180,225,80,2811
373,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14,190,326,58.3,2802
374,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,191,264,72.3,2736
375,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FWMF,Leicester City,22,1996,10,191,241,79.3,2705
376,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,101,132,76.5,2698
377,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,11.4,170,246,69.1,2696
378,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3,182,201,90.5,2676
379,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,3.7,149,179,83.2,2656
380,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,136,167,81.4,2638
381,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.3,147,188,78.2,2621
382,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,28,1990,5.3,116,151,76.8,2610
383,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,163,208,78.4,2588
384,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,18,2000,5.5,150,204,73.5,2582
385,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,2.3,104,123,84.6,2572
386,Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,28,1991,6.7,171,231,74,2510
